original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,58,Gminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,48,Aminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Aminor,64,Dminor
60,55,52,48,Cmajor,55,60,55,55,55,62,Dmajor,64,Aminor
67,55,50,47,Gmajor,60,59,62,62,62,62,Gmajor,67,Aminor
64,55,52,48,Cmajor,60,60,60,55,55,67,Cmajor,67,Gmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,67,Cmajor
67,60,52,40,Cmajor,60,60,60,60,60,55,Cmajor,55,Cmajor
69,65,48,41,Fmajor,60,60,60,53,53,60,Fmajor,57,Fmajor
69,65,60,45,Fmajor,60,60,60,64,65,59,Gmajor,60,Cmajor
67,64,60,48,Cmajor,60,60,60,64,64,59,Cmajor,60,Cmajor
67,64,60,48,Cmajor,60,60,60,64,64,60,Cmajor,60,Cmajor
69,65,60,53,Fmajor,60,60,60,65,65,60,Cmajor,60,Cmajor
71,65,62,52,Bdiminished,62,59,65,65,65,60,Fmajor,60,Cmajor
72,67,60,52,Cmajor,64,60,67,67,67,59,Cmajor,60,Cmajor
71,67,59,55,Gmajor,62,59,62,62,62,60,Cmajor,60,Cmajor
69,64,60,48,Aminor,60,60,64,64,64,60,Cmajor,60,Cmajor
69,62,57,50,Dmajor,60,62,62,65,66,59,Gmajor,59,Gmajor
67,62,59,43,Gmajor,60,59,62,62,62,59,Cmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
69,60,48,41,Fmajor,60,60,60,53,53,60,Cmajor,60,Cmajor
67,59,52,43,Eminor,60,59,59,59,59,60,Cmajor,60,Cmajor
65,60,52,45,Fmajor,60,60,60,60,60,60,Dminor,60,Cmajor
64,55,52,48,Cmajor,60,60,60,55,55,62,Gmajor,60,Cmajor
62,60,50,43,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
-62,59,53,-43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor,55,Gmajor
67,55,50,47,Gmajor,60,59,62,62,62,60,Cmajor,57,Aminor
64,55,52,48,Cmajor,60,60,60,55,55,55,Cmajor,55,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,57,Fmajor
67,60,52,40,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
69,65,48,41,Fmajor,60,60,60,53,53,59,Cmajor,60,Cmajor
69,65,60,45,Fmajor,60,60,60,64,65,60,Cmajor,60,Cmajor
67,64,60,48,Cmajor,60,60,60,64,64,60,Aminor,60,Cmajor
67,64,60,48,Cmajor,60,60,60,64,64,62,Dmajor,60,Cmajor
69,65,60,53,Fmajor,60,60,60,65,65,62,Gmajor,60,Fmajor
71,65,62,52,Bdiminished,62,59,65,65,65,60,Cmajor,60,Cmajor
72,67,60,52,Cmajor,64,60,67,67,67,60,Cmajor,67,Gmajor
71,67,59,55,Gmajor,62,59,62,62,62,62,Gmajor,67,Aminor
69,64,60,48,Aminor,60,60,64,64,64,62,Gmajor,67,Aminor
69,62,57,50,Dmajor,60,62,62,65,66,67,Cmajor,67,Gmajor
67,62,59,43,Gmajor,60,59,62,62,62,67,Cmajor,64,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,67,Cmajor,60,Cmajor
69,60,48,41,Fmajor,60,60,60,53,53,60,Fmajor,60,Fmajor
67,59,52,43,Eminor,60,59,59,59,59,60,Cmajor,60,Cmajor
65,60,52,45,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
64,55,52,48,Cmajor,60,60,60,55,55,62,Gmajor,60,Fmajor
62,60,50,43,Cother,59,60,60,59,60,62,Gmajor,60,Fmajor
-62,59,53,-43,Gmajor,59,59,59,59,59,62,Gmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,55,Cmajor,57,Fmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,55,Cmajor
67,62,55,47,Gmajor,60,59,62,62,62,60,Cmajor,55,Gmajor
-67,-62,-55,-47,Gmajor,60,59,62,62,62,55,Cmajor,55,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Fmajor,57,Fmajor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
67,60,55,43,Cother,60,60,62,59,60,59,Cmajor,60,Cmajor
-67,59,-55,-43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Aminor,60,Cmajor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,62,Dmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,60,Fmajor
64,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,67,Gmajor
